type,path,module,name
function,allegiance/src/allegiance_per_animal.py,allegiance.src.allegiance_per_animal,_build_agreement_matrix
function,allegiance/src/allegiance_per_animal_v2.py,allegiance.src.allegiance_per_animal_v2,_build_agreement_matrix
function,allegiance/src/burst_detection_PBM.py,allegiance.src.burst_detection_PBM,analyze_link_dynamics
function,allegiance/src/burst_detection_PBM.py,allegiance.src.burst_detection_PBM,compute_dwell_times_np
function,allegiance/src/compute_allegiance_local.py,allegiance.src.compute_allegiance_local,compute_dfc_stream
function,allegiance/src/merge_allegiance_parallel.py,allegiance.src.merge_allegiance_parallel,merge_allegiance
function,allegiance/src/run_all_allegiance_local.py,allegiance.src.run_all_allegiance_local,run_one_job
function,julien_data/3_dfc_local_speed_v1.py,julien_data.3_dfc_local_speed_v1,run_local_dfc_speed_analysis
function,julien_data/Plot_speed_figures.py,julien_data.Plot_speed_figures,plot_community_histograms
function,julien_data/dfc_windows_pooling.py,julien_data.dfc_windows_pooling,cdf_plot
function,julien_data/dfc_windows_pooling.py,julien_data.dfc_windows_pooling,plot_bootstrap_ci_comparison
function,julien_data/local_speed_plot_v2.py,julien_data.local_speed_plot_v2,build_groups_for_tests
function,julien_data/local_speed_plot_v2.py,julien_data.local_speed_plot_v2,corr_speed_cog_vs_window
function,julien_data/local_speed_plot_v2.py,julien_data.local_speed_plot_v2,kruskal_speed_groups
function,julien_data/local_speed_plot_v2.py,julien_data.local_speed_plot_v2,pairwise_mwu_speed_groups
function,julien_data/local_speed_plot_v2.py,julien_data.local_speed_plot_v2,plot_corr_vs_window
function,julien_data/modularity.py,julien_data.modularity,compute_correlation
function,julien_data/modularity.py,julien_data.modularity,compute_mean_nmi_parallel
function,julien_data/modularity.py,julien_data.modularity,plot_stability
function,metaconnectivity/compute_fluidity.py,metaconnectivity.compute_fluidity,MA_EEG_Man_Dim_Flui
function,metaconnectivity/compute_fluidity.py,metaconnectivity.compute_fluidity,extremal_Sueveges
function,metaconnectivity/deprecated_fun.py,metaconnectivity.deprecated_fun,compute_dfc_stream_old
function,metaconnectivity/deprecated_fun.py,metaconnectivity.deprecated_fun,fun_allegiance_communities_old
function,metaconnectivity/deprecated_fun.py,metaconnectivity.deprecated_fun,fun_mc_viscocity
function,metaconnectivity/fun_dfcspeed.py,metaconnectivity.fun_dfcspeed,dfc_speed_oversampled_series
function,metaconnectivity/fun_dfcspeed.py,metaconnectivity.fun_dfcspeed,parallel_dfc_speed_oversampled_series
function,metaconnectivity/fun_dfcspeed.py,metaconnectivity.fun_dfcspeed,sort_modularity
function,metaconnectivity/fun_dfcspeed.py,metaconnectivity.fun_dfcspeed,ts2dfc_stream_old
function,metaconnectivity/fun_dfcspeed.py,metaconnectivity.fun_dfcspeed,window_pooling_speed
function,metaconnectivity/fun_metaconnectivity.py,metaconnectivity.fun_metaconnectivity,_build_agreement_matrix
function,metaconnectivity/fun_metaconnectivity.py,metaconnectivity.fun_metaconnectivity,allegiance_wrapper_
function,metaconnectivity/fun_metaconnectivity.py,metaconnectivity.fun_metaconnectivity,build_trimer_mask
function,metaconnectivity/fun_metaconnectivity.py,metaconnectivity.fun_metaconnectivity,compute_mc_nplets_mask_and_index
function,metaconnectivity/fun_metaconnectivity.py,metaconnectivity.fun_metaconnectivity,compute_trimers_identity
function,metaconnectivity/fun_metaconnectivity.py,metaconnectivity.fun_metaconnectivity,fun_allegiance_communities2
function,metaconnectivity/fun_metaconnectivity.py,metaconnectivity.fun_metaconnectivity,intramodule_indices_mask
function,metaconnectivity/fun_metaconnectivity.py,metaconnectivity.fun_metaconnectivity,trimers_by_apex
function,metaconnectivity/fun_metaconnectivity.py,metaconnectivity.fun_metaconnectivity,trimers_leaves_fc
function,metaconnectivity/fun_metaconnectivity.py,metaconnectivity.fun_metaconnectivity,trimers_root_fc
function,metaconnectivity/fun_optimization.py,metaconnectivity.fun_optimization,fast_corrcoef_numba
function,metaconnectivity/fun_optimization.py,metaconnectivity.fun_optimization,fast_corrcoef_numba_parallel
function,shared_code/shared_code/fun_bootstrap.py,shared_code.shared_code.fun_bootstrap,_bootstrap_job
function,shared_code/shared_code/fun_bootstrap.py,shared_code.shared_code.fun_bootstrap,bootstrap_permutation_joblib
function,shared_code/shared_code/fun_bootstrap.py,shared_code.shared_code.fun_bootstrap,handler_bootstrap_permutation
function,shared_code/shared_code/fun_dfcspeed.py,shared_code.shared_code.fun_dfcspeed,_handle_dfc_speed_analysis
function,shared_code/shared_code/fun_dfcspeed.py,shared_code.shared_code.fun_dfcspeed,check_and_rerun_missing_files
function,shared_code/shared_code/fun_dfcspeed.py,shared_code.shared_code.fun_dfcspeed,dfc_speed_oversampled_series
function,shared_code/shared_code/fun_dfcspeed.py,shared_code.shared_code.fun_dfcspeed,handler_get_tenet
function,shared_code/shared_code/fun_dfcspeed.py,shared_code.shared_code.fun_dfcspeed,parallel_dfc_speed_oversampled_series
function,shared_code/shared_code/fun_dfcspeed.py,shared_code.shared_code.fun_dfcspeed,pool_vel_windows
function,shared_code/shared_code/fun_loaddata.py,shared_code.shared_code.fun_loaddata,get_missing_files
function,shared_code/shared_code/fun_loaddata.py,shared_code.shared_code.fun_loaddata,load_fc2_npz
function,shared_code/shared_code/fun_loaddata.py,shared_code.shared_code.fun_loaddata,load_pickle
function,shared_code/shared_code/fun_metaconnectivity.py,shared_code.shared_code.fun_metaconnectivity,_build_agreement_matrix
function,shared_code/shared_code/fun_metaconnectivity.py,shared_code.shared_code.fun_metaconnectivity,allegiance_wrapper_
function,shared_code/shared_code/fun_metaconnectivity.py,shared_code.shared_code.fun_metaconnectivity,animal_mc
function,shared_code/shared_code/fun_metaconnectivity.py,shared_code.shared_code.fun_metaconnectivity,build_trimer_mask
function,shared_code/shared_code/fun_metaconnectivity.py,shared_code.shared_code.fun_metaconnectivity,compute_mc_nplets_mask_and_index
function,shared_code/shared_code/fun_metaconnectivity.py,shared_code.shared_code.fun_metaconnectivity,compute_metaconnectivity_old
function,shared_code/shared_code/fun_metaconnectivity.py,shared_code.shared_code.fun_metaconnectivity,compute_trimers_identity
function,shared_code/shared_code/fun_metaconnectivity.py,shared_code.shared_code.fun_metaconnectivity,fun_allegiance_communities2
function,shared_code/shared_code/fun_metaconnectivity.py,shared_code.shared_code.fun_metaconnectivity,intramodule_indices_mask
function,shared_code/shared_code/fun_metaconnectivity.py,shared_code.shared_code.fun_metaconnectivity,trimers_by_apex
function,shared_code/shared_code/fun_metaconnectivity.py,shared_code.shared_code.fun_metaconnectivity,trimers_leaves_fc
function,shared_code/shared_code/fun_metaconnectivity.py,shared_code.shared_code.fun_metaconnectivity,trimers_root_fc
function,shared_code/shared_code/fun_network.py,shared_code.shared_code.fun_network,sort_modularity
function,shared_code/shared_code/fun_optimization.py,shared_code.shared_code.fun_optimization,cosine_speed
function,shared_code/shared_code/fun_optimization.py,shared_code.shared_code.fun_optimization,fast_corrcoef_numba
function,shared_code/shared_code/fun_optimization.py,shared_code.shared_code.fun_optimization,fast_corrcoef_numba_parallel
function,shared_code/shared_code/fun_optimization.py,shared_code.shared_code.fun_optimization,pearson_speed
function,shared_code/shared_code/fun_paths.py,shared_code.shared_code.fun_paths,build_paths
function,shared_code/shared_code/fun_paths.py,shared_code.shared_code.fun_paths,check_write_permissions
function,shared_code/shared_code/fun_paths.py,shared_code.shared_code.fun_paths,create_directories
function,shared_code/shared_code/fun_utils.py,shared_code.shared_code.fun_utils,check_symmetric
function,shared_code/shared_code/fun_utils.py,shared_code.shared_code.fun_utils,load_timeseries
function,shared_code/shared_code/fun_utils.py,shared_code.shared_code.fun_utils,validate_alignment
function,test_compatibility.py,test_compatibility,test_implementation_compatibility
function,test_dfc_speed_integration.py,test_dfc_speed_integration,test_dfc_speed_integration
function,test_dfc_speed_integration.py,test_dfc_speed_integration,test_dfc_speed_kwargs_validation
function,test_unified_dfc_speed.py,test_unified_dfc_speed,performance_comparison
function,test_unified_dfc_speed.py,test_unified_dfc_speed,test_unified_dfc_speed
function,tests_smoke/test_dfc_speed_smoke.py,tests_smoke.test_dfc_speed_smoke,test_dfc_speed_synthetic_small
function,tests_smoke/test_matplotlib_smoke.py,tests_smoke.test_matplotlib_smoke,test_minimal_plot_backend_agg
function,tests_smoke/test_meta_allegiance_smoke.py,tests_smoke.test_meta_allegiance_smoke,test_meta_connectivity_and_allegiance_tiny
function,tools/compare_shared_vs_meta.py,tools.compare_shared_vs_meta,benchmark
function,tools/compare_shared_vs_meta.py,tools.compare_shared_vs_meta,write_reports
function,tools/report_dead_code_and_todos.py,tools.report_dead_code_and_todos,collect_defs
function,tools/report_dead_code_and_todos.py,tools.report_dead_code_and_todos,collect_imports
function,tools/report_dead_code_and_todos.py,tools.report_dead_code_and_todos,collect_name_refs
function,tools/report_dead_code_and_todos.py,tools.report_dead_code_and_todos,iter_py_files
function,tools/report_dead_code_and_todos.py,tools.report_dead_code_and_todos,report_dead_code
function,tools/report_dead_code_and_todos.py,tools.report_dead_code_and_todos,report_todos
