region,window,A,B,q,diff,lo,hi,significant,n_a,n_b
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.11939752161502848,0.10006786525249478,0.1377969213724137,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.12255702316761019,0.08829914048314094,0.1545926737785339,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.246378930285573,0.19665461741387844,0.2901038113981485,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.39404415190219866,0.37123987114056994,0.4257987970113755,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.3686069893836976,0.34025022506713887,0.42121200710535056,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,-0.03739132165908815,-0.055091443061828616,0.022493190288543664,False,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,-0.01338367462158202,-0.0559093987941742,0.023230069577693947,False,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,-0.028119325637817383,-0.08324704915285111,-0.0008965246379375499,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,-0.03464782238006592,-0.07258959025144587,0.0033693745732306856,False,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,-0.02381726026535036,-0.051509175300598294,-0.004520345926284697,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.04815515756607058,0.03798509597778321,0.06318654197454451,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.05261679887771609,0.0336825680732727,0.06977447271347045,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.08339059352874756,0.06382524967193604,0.10445696115493774,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.10620844364166265,0.08560531646013257,0.13862626835703845,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.12737199902534474,0.09486690759658789,0.14463438630104075,True,97,97
