region,window,A,B,q,diff,lo,hi,significant,n_a,n_b
dmn_within,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.05737607479095458,0.02958288677036762,0.06770951022207733,True,388,388
dmn_within,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.05768848657608028,0.053430252224206935,0.06648869510740045,True,388,388
dmn_within,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.05449482798576355,0.04784693457186222,0.058449183404445645,True,388,388
dmn_within,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.06948560327291486,0.05107104144990442,0.0921030554175376,True,388,388
dmn_within,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.09486591339111328,0.0883912334665656,0.10154845923185352,True,388,388
dmn_within,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.15541647970676423,0.15301847848296166,0.1574382302612066,True,788,788
dmn_within,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.16368506848812103,0.15549980126321317,0.17593454502522948,True,788,788
dmn_within,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.16582241654396057,0.14494272843003272,0.17283315286040307,True,788,788
dmn_within,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.16916239857673648,0.1557310028374195,0.1787110086902976,True,788,788
dmn_within,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.16877252548933036,0.16556014948338266,0.1722814073562622,True,788,788
dmn_within,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.04576831907033929,0.02639446097612377,0.07367856689542526,True,1468,1468
dmn_within,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.06208891570568087,0.04654201924800873,0.07481994453817609,True,1468,1468
dmn_within,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.06982067227363586,0.06447940897196532,0.07582813054323195,True,1468,1468
dmn_within,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.019747758563607998,0.013741567149409332,0.02640065517742182,True,1468,1468
dmn_within,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.011090695057064393,0.002607371528633656,0.026751451449003132,True,1468,1468
dmn_within,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.17750623047351838,0.16036409592628478,0.19315156315267082,True,1868,1868
dmn_within,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.24799851328134537,0.21560159523040057,0.2787030290812254,True,1868,1868
dmn_within,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.09689689800143242,0.08790049562230706,0.1068215612322092,True,1868,1868
dmn_within,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.0456474539823829,0.03863929873565221,0.052691187183372665,True,1868,1868
dmn_within,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.0373125718277878,0.025694997821003197,0.04716982553544224,True,1868,1868
dmn_within,11,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.06327037513256073,0.009123526029288745,0.07723462477326387,True,1456,1456
dmn_within,11,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.0542190745472908,0.035924073215574025,0.07128683319315313,True,1456,1456
dmn_within,11,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.08166325464844704,0.07507612062618137,0.08831625981256365,True,1456,1456
dmn_within,11,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.01171341713052243,0.0053143302450735065,0.01824122989637544,True,1456,1456
dmn_within,11,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,-0.00534104835242033,-0.015885030669160187,0.01094262740341914,False,1456,1456
dmn_within,11,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.2034549310803413,0.17754517816007137,0.2305534221231937,True,1856,1856
dmn_within,11,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.25894440710544586,0.2226188277825713,0.2826021214947104,True,1856,1856
dmn_within,11,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.09737084805965424,0.08714172691106796,0.10841545211151242,True,1856,1856
dmn_within,11,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.052046835771761835,0.044401820632629097,0.06127654658921528,True,1856,1856
dmn_within,11,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.0307358840946107,0.02126913827960375,0.0448367298184894,True,1856,1856
dmn_within,12,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.0379162529110908,0.015052187487482998,0.058289022661745495,True,1444,1444
dmn_within,12,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.045629119873046964,0.025348947606980823,0.06234648117795581,True,1444,1444
dmn_within,12,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.08174844831228256,0.0759857714176178,0.08853661445900797,True,1444,1444
dmn_within,12,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.01382127708056935,0.0026161553946440984,0.02302320028422402,True,1444,1444
dmn_within,12,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.002294415403157446,-0.006048977375030518,0.01184901850717154,False,1444,1444
dmn_within,12,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.26512290179729464,0.23307900906354187,0.30090172378718855,True,1844,1844
dmn_within,12,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.2658056348562241,0.24397472344338894,0.2836664607748389,True,1844,1844
dmn_within,12,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.10114730894565582,0.0908816996961832,0.11196337603032586,True,1844,1844
dmn_within,12,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.06025420837104323,0.050356377272401026,0.06764305480290209,True,1844,1844
dmn_within,12,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.03436326798051614,0.02089258584869102,0.042463920898037036,True,1844,1844
dmn_within,13,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.04247774928808212,0.023631834857165843,0.0890515148565173,True,1432,1432
dmn_within,13,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.047780902683734916,0.027557700015604453,0.06663174074143174,True,1432,1432
dmn_within,13,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.08166602998971939,0.07508403612300754,0.09110507490113376,True,1432,1432
dmn_within,13,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.023352776083629623,0.01534208088531161,0.03367994976877534,True,1432,1432
dmn_within,13,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.016543823187239237,0.0068675657671412645,0.02952581380994521,True,1432,1432
dmn_within,13,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.3281560173630715,0.30148302288353446,0.3423294255137444,True,1832,1832
