region,window,A,B,q,diff,lo,hi,significant,n_a,n_b
shared,100,"('WT', 'VEH')","('WT', 'LCTB92')",1.0,nan,nan,nan,False,97,0
shared,100,"('WT', 'VEH')","('WT', 'LCTB92')",5.0,nan,nan,nan,False,97,0
shared,100,"('WT', 'VEH')","('WT', 'LCTB92')",50.0,nan,nan,nan,False,97,0
shared,100,"('WT', 'VEH')","('WT', 'LCTB92')",95.0,nan,nan,nan,False,97,0
shared,100,"('WT', 'VEH')","('WT', 'LCTB92')",99.0,nan,nan,nan,False,97,0
shared,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,nan,nan,nan,False,97,0
shared,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,nan,nan,nan,False,97,0
shared,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,nan,nan,nan,False,97,0
shared,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,nan,nan,nan,False,97,0
shared,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,nan,nan,nan,False,97,0
shared,100,"('WT', 'VEH')","('Dp1Yey', 'VEH')",1.0,0.039426352977752654,0.006978957474231703,0.05668151378631592,True,97,97
shared,100,"('WT', 'VEH')","('Dp1Yey', 'VEH')",5.0,0.013038909435272195,-0.005069720745086659,0.029537606239318837,False,97,97
shared,100,"('WT', 'VEH')","('Dp1Yey', 'VEH')",50.0,0.0023700594902038574,-0.014289931952953338,0.01267695426940918,False,97,97
shared,100,"('WT', 'VEH')","('Dp1Yey', 'VEH')",95.0,0.03922141790390016,0.024952935874462106,0.062223270535469076,True,97,97
shared,100,"('WT', 'VEH')","('Dp1Yey', 'VEH')",99.0,0.047477023601532,0.031996307373046755,0.053392655849456794,True,97,97
shared,100,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",1.0,nan,nan,nan,False,0,0
shared,100,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",5.0,nan,nan,nan,False,0,0
shared,100,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",50.0,nan,nan,nan,False,0,0
shared,100,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",95.0,nan,nan,nan,False,0,0
shared,100,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",99.0,nan,nan,nan,False,0,0
shared,100,"('WT', 'VEH')","('WT', 'LCTB92')",1.0,0.06550504624843598,0.06149280832707882,0.06964563170075418,True,2364,2758
shared,100,"('WT', 'VEH')","('WT', 'LCTB92')",5.0,0.05355306565761567,0.04856293261051177,0.058090560063719744,True,2364,2758
shared,100,"('WT', 'VEH')","('WT', 'LCTB92')",50.0,0.04598134756088257,0.035750682651996615,0.05399350747466086,True,2364,2758
shared,100,"('WT', 'VEH')","('WT', 'LCTB92')",95.0,0.06941616386175142,0.0531916039809585,0.08530260063707784,True,2364,2758
shared,100,"('WT', 'VEH')","('WT', 'LCTB92')",99.0,0.07126713573932653,0.06212411559373175,0.07825504106283197,True,2364,2758
shared,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,-0.03788121461868288,-0.05388557949662207,-0.022937024116516106,True,2167,2167
shared,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,-0.03473553657531739,-0.0399888491630554,-0.030803361684083923,True,2167,2167
shared,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,-0.0034218430519104004,-0.008989676833152771,0.001451690495014186,False,2167,2167
shared,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,-0.15656058490276298,-0.18183126464486113,-0.13265902251005174,True,2167,2167
shared,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,-0.14354210674762713,-0.17265415784716578,-0.12260823294520334,True,2167,2167
shared,100,"('WT', 'VEH')","('Dp1Yey', 'VEH')",1.0,-0.014477058649063096,-0.027924495026469216,0.0015991869419813012,False,2364,2167
shared,100,"('WT', 'VEH')","('Dp1Yey', 'VEH')",5.0,-0.03242274820804594,-0.03677763640880585,-0.027749114707112308,True,2364,2167
shared,100,"('WT', 'VEH')","('Dp1Yey', 'VEH')",50.0,0.06034138798713684,0.05473866239190102,0.06599608659744262,True,2364,2167
shared,100,"('WT', 'VEH')","('Dp1Yey', 'VEH')",95.0,0.13767899274826062,0.12269087135791752,0.1553038448095322,True,2364,2167
shared,100,"('WT', 'VEH')","('Dp1Yey', 'VEH')",99.0,0.09557317942380883,0.07439682636409999,0.12293589621782253,True,2364,2167
shared,100,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",1.0,-0.11786331951618195,-0.12217677831649779,-0.10988567477464677,True,2758,2167
shared,100,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",5.0,-0.120711350440979,-0.12565516747534275,-0.11581953741610052,True,2758,2167
shared,100,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",50.0,0.010938197374343872,0.0029426492750644685,0.02075977474451065,True,2758,2167
shared,100,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",95.0,-0.08829775601625378,-0.11090249180793753,-0.06470536898821552,True,2758,2167
shared,100,"('WT', 'LCTB92')","('Dp1Yey', 'LCTB92')",99.0,-0.11923606306314483,-0.12728013844788094,-0.10776533303409838,True,2758,2167
shared,10,"('WT', 'VEH')","('WT', 'LCTB92')",1.0,nan,nan,nan,False,367,0
shared,10,"('WT', 'VEH')","('WT', 'LCTB92')",5.0,nan,nan,nan,False,367,0
shared,10,"('WT', 'VEH')","('WT', 'LCTB92')",50.0,nan,nan,nan,False,367,0
shared,10,"('WT', 'VEH')","('WT', 'LCTB92')",95.0,nan,nan,nan,False,367,0
shared,10,"('WT', 'VEH')","('WT', 'LCTB92')",99.0,nan,nan,nan,False,367,0
shared,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,nan,nan,nan,False,367,0
shared,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,nan,nan,nan,False,367,0
shared,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,nan,nan,nan,False,367,0
shared,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,nan,nan,nan,False,367,0
shared,10,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,nan,nan,nan,False,367,0
