region,window,group,q,point,lo,hi,n
shared,100,"('Dp1Yey', 'LCTB92')",1.0,nan,nan,nan,0
shared,100,"('Dp1Yey', 'LCTB92')",5.0,nan,nan,nan,0
shared,100,"('Dp1Yey', 'LCTB92')",50.0,nan,nan,nan,0
shared,100,"('Dp1Yey', 'LCTB92')",95.0,nan,nan,nan,0
shared,100,"('Dp1Yey', 'LCTB92')",99.0,nan,nan,nan,0
shared,100,"('Dp1Yey', 'VEH')",1.0,0.2890832090377808,0.2753223180770874,0.3225061297416687,97
shared,100,"('Dp1Yey', 'VEH')",5.0,0.3212084174156189,0.30854071378707887,0.3374254834651947,97
shared,100,"('Dp1Yey', 'VEH')",50.0,0.39578336477279663,0.38733118772506714,0.40795189142227173,97
shared,100,"('Dp1Yey', 'VEH')",95.0,0.45537325143814084,0.44235782623291015,0.459982430934906,97
shared,100,"('Dp1Yey', 'VEH')",99.0,0.4604153132438659,0.4549612498283386,0.4631277918815613,97
shared,100,"('WT', 'LCTB92')",1.0,nan,nan,nan,0
shared,100,"('WT', 'LCTB92')",5.0,nan,nan,nan,0
shared,100,"('WT', 'LCTB92')",50.0,nan,nan,nan,0
shared,100,"('WT', 'LCTB92')",95.0,nan,nan,nan,0
shared,100,"('WT', 'LCTB92')",99.0,nan,nan,nan,0
shared,100,"('WT', 'VEH')",1.0,0.32850956201553344,0.32848793268203735,0.33425442934036254,97
shared,100,"('WT', 'VEH')",5.0,0.3342473268508911,0.3288687586784363,0.3413363218307495,97
shared,100,"('WT', 'VEH')",50.0,0.3981534242630005,0.38800448179244995,0.40455371141433716,97
shared,100,"('WT', 'VEH')",95.0,0.494594669342041,0.4823874831199646,0.5068674981594086,97
shared,100,"('WT', 'VEH')",99.0,0.5078923368453979,0.4944515371322631,0.5113197565078735,97
shared,100,"('Dp1Yey', 'LCTB92')",1.0,0.22245631456375123,0.21526914834976196,0.2258211374282837,2167
shared,100,"('Dp1Yey', 'LCTB92')",5.0,0.24910053014755248,0.2464669704437256,0.25232190474867816,2167
shared,100,"('Dp1Yey', 'LCTB92')",50.0,0.3246573209762573,0.3218511939048767,0.32835287898778914,2167
shared,100,"('Dp1Yey', 'LCTB92')",95.0,0.6193472057580942,0.5972987115383148,0.6406371265649795,2167
shared,100,"('Dp1Yey', 'LCTB92')",99.0,0.7018521344661713,0.6917112898826601,0.7060896754264832,2167
shared,100,"('Dp1Yey', 'VEH')",1.0,0.18457509994506835,0.16921512851119042,0.19738174590468402,2167
shared,100,"('Dp1Yey', 'VEH')",5.0,0.2143649935722351,0.21111218333244325,0.21745912835001946,2167
shared,100,"('Dp1Yey', 'VEH')",50.0,0.3212354779243469,0.31738704442977905,0.3249359726905823,2167
shared,100,"('Dp1Yey', 'VEH')",95.0,0.46278662085533123,0.4534601899981498,0.4715974800288668,2167
shared,100,"('Dp1Yey', 'VEH')",99.0,0.5583100277185442,0.5331525802612305,0.578449379205704,2167
shared,100,"('WT', 'LCTB92')",1.0,0.10459299504756928,0.1017121797800064,0.10724114398658276,2758
shared,100,"('WT', 'LCTB92')",5.0,0.1283891797065735,0.12517261505126953,0.13258421421051025,2758
shared,100,"('WT', 'LCTB92')",50.0,0.3355955183506012,0.32867028564214706,0.3457849554717541,2758
shared,100,"('WT', 'LCTB92')",95.0,0.5310494497418404,0.5222275972366334,0.5388672943413257,2758
shared,100,"('WT', 'LCTB92')",99.0,0.5826160714030265,0.5768979442119598,0.5895199775695801,2758
shared,100,"('WT', 'VEH')",1.0,0.17009804129600525,0.1668220892250538,0.17306546092033387,2364
shared,100,"('WT', 'VEH')",5.0,0.18194224536418915,0.17914257645606996,0.1851203441619873,2364
shared,100,"('WT', 'VEH')",50.0,0.38157686591148376,0.37728315591812134,0.38513875007629395,2364
shared,100,"('WT', 'VEH')",95.0,0.6004656136035919,0.5873963993787765,0.6127052510902286,2364
shared,100,"('WT', 'VEH')",99.0,0.653883207142353,0.6487052875757217,0.6568813097476959,2364
shared,10,"('Dp1Yey', 'LCTB92')",1.0,nan,nan,nan,0
shared,10,"('Dp1Yey', 'LCTB92')",5.0,nan,nan,nan,0
shared,10,"('Dp1Yey', 'LCTB92')",50.0,nan,nan,nan,0
shared,10,"('Dp1Yey', 'LCTB92')",95.0,nan,nan,nan,0
shared,10,"('Dp1Yey', 'LCTB92')",99.0,nan,nan,nan,0
shared,10,"('Dp1Yey', 'VEH')",1.0,0.5147455209493637,0.5047166347503662,0.5565528857707978,367
shared,10,"('Dp1Yey', 'VEH')",5.0,0.5834446340799332,0.5609430104494095,0.6127985184639687,367
